age,gender,height,weight,workout_type,duration,calories_burned,intensity,calories_intake,bmi,goal_A,goal_B,goal_C,goal_D,goal_E,goal_F,goal_G,goal_H
19,Other,162,65,5,77,983,Medium,2904,24.76756591982929,0,0,0,1,0,1,0,1
48,Male,164,57,2,100,104,Medium,1542,21.192742415229034,0,0,1,1,0,0,0,0
28,Male,189,75,1,79,920,High,2783,20.99605274208449,0,0,0,1,0,0,1,1
32,Male,195,115,1,12,155,Low,3528,30.243261012491782,0,1,0,0,0,0,1,1
39,Female,172,95,0,91,455,Medium,3686,32.11195240670633,0,1,0,0,0,0,1,0
28,Other,165,50,0,38,388,Low,2208,18.36547291092746,0,0,0,0,0,0,1,0
32,Other,190,71,0,10,264,Low,3380,19.667590027700832,0,0,0,1,0,1,1,0
33,Other,165,67,5,27,639,Low,1594,24.609733700642796,0,0,0,1,0,1,1,1
59,Other,158,91,5,104,896,Low,2849,36.45249158788655,0,0,0,0,0,0,1,1
43,Female,183,57,5,50,891,Medium,2786,17.020514198692105,0,0,0,0,0,0,1,1
57,Male,161,97,4,98,360,Medium,1808,37.42139577948381,0,0,0,0,1,0,1,1
20,Other,165,87,1,45,247,Medium,1677,31.95592286501378,0,1,0,0,0,0,0,1
47,Male,189,102,0,39,287,High,3224,28.554631729234906,0,1,0,1,0,0,1,0
51,Other,158,68,2,39,255,High,2306,27.239224483255885,0,1,0,1,0,0,0,0
23,Other,188,78,1,87,113,Medium,3489,22.068809416025353,0,0,0,1,0,0,0,1
25,Male,160,77,5,24,546,Low,1941,30.078124999999993,0,1,0,0,0,0,1,1
25,Male,165,60,3,53,934,High,3684,22.03856749311295,1,0,1,0,1,1,1,0
53,Female,184,85,2,28,321,Low,3678,25.10633270321361,0,1,0,1,0,0,0,0
49,Female,171,88,0,114,693,Low,2255,30.094730002393902,0,1,0,0,0,0,1,0
53,Other,193,76,4,36,739,Medium,2196,20.403232301538296,0,0,0,0,1,0,1,1
21,Other,199,97,0,55,628,High,3656,24.494330951238602,0,0,0,1,0,1,0,0
34,Other,161,54,0,32,244,Medium,1656,20.832529609197174,0,0,0,1,0,1,1,0
31,Male,151,110,1,40,748,Low,3977,48.243498092188936,0,1,0,0,0,0,1,1
20,Male,165,100,0,52,447,High,3871,36.73094582185492,0,1,0,0,0,0,0,0
58,Male,156,74,0,95,707,Low,3184,30.407626561472714,0,0,0,0,0,0,1,0
38,Other,181,101,4,91,445,Low,2171,30.829339763743477,0,0,0,0,1,0,1,1
21,Female,195,83,4,54,849,High,1547,21.827744904667984,0,0,0,0,1,1,0,1
56,Male,199,93,2,19,796,Low,1553,23.484255448094743,0,0,0,1,0,0,0,0
36,Other,160,117,4,32,929,Medium,2785,45.70312499999999,0,0,0,0,1,0,1,1
59,Male,197,92,2,22,472,High,3453,23.70584142853462,0,0,0,1,0,0,0,0
29,Male,190,93,3,105,846,Medium,2264,25.761772853185597,0,1,1,0,1,0,1,0
34,Other,174,71,4,117,524,Medium,3265,23.450918219051392,0,0,0,0,1,1,1,1
57,Male,179,62,0,25,541,Low,2365,19.350207546580943,0,0,0,1,0,0,1,0
50,Female,194,57,4,51,125,High,2866,15.145073865447976,0,0,0,0,1,0,1,1
56,Other,170,55,4,57,595,Medium,3220,19.031141868512112,0,0,0,0,1,0,1,1
19,Male,181,118,5,29,927,Low,3750,36.01843655566069,0,1,0,0,0,0,0,1
19,Male,172,75,2,80,756,Low,3648,25.351541373715524,0,1,1,1,0,0,0,0
54,Male,174,60,1,12,677,Medium,3738,19.817677368212443,0,0,0,1,0,0,1,1
36,Female,162,61,4,74,662,Medium,2216,23.243408017070564,0,0,0,0,1,0,1,1
54,Male,178,56,4,115,323,Low,3300,17.67453604342886,0,0,0,0,1,0,1,1
38,Male,189,82,2,116,631,Low,2767,22.955684331345708,1,0,1,1,0,0,0,0
28,Other,167,54,0,70,931,High,2811,19.362472659471475,0,0,0,1,0,1,1,0
47,Female,199,83,0,92,434,Medium,2740,20.959066690235094,0,0,0,1,0,0,1,0
58,Male,183,92,1,101,890,Low,3058,27.471707127713575,0,0,0,1,0,0,1,1
23,Other,182,53,4,100,116,High,2356,16.000483033450067,0,0,0,0,1,0,0,1
59,Female,167,70,5,107,311,Medium,2932,25.099501595611173,0,0,0,1,0,0,1,1
36,Male,151,83,5,73,999,High,3050,36.40191219683347,0,1,0,0,0,0,1,1
37,Male,190,91,3,60,494,High,1795,25.207756232686982,0,1,1,0,1,0,1,0
40,Female,191,118,3,35,601,Low,3337,32.34560456127848,0,1,0,0,1,0,1,0
51,Male,154,67,0,82,953,Low,2659,28.25096980941137,0,1,0,1,0,0,1,0
26,Male,154,107,3,26,473,Low,3888,45.11722044189577,0,1,0,0,1,0,1,0
56,Female,189,104,2,27,600,Low,3507,29.114526469023826,0,0,0,1,0,0,0,0
54,Male,171,106,4,90,205,High,1612,36.25047023015629,0,0,0,0,1,0,1,1
50,Female,193,73,1,93,948,Medium,2130,19.597841552793366,0,0,0,1,0,0,1,1
47,Other,157,81,0,83,808,Low,3308,32.86137368655929,0,1,0,0,0,0,1,0
34,Female,192,89,3,13,210,Low,3904,24.14279513888889,1,0,1,0,1,1,1,0
24,Female,169,110,4,44,388,Medium,2552,38.514057631035335,0,0,0,0,1,0,0,1
58,Male,168,106,1,48,162,Low,3248,37.55668934240364,0,0,0,0,0,0,1,1
22,Male,152,72,3,62,167,Medium,3787,31.16343490304709,0,1,0,0,1,0,0,0
52,Other,199,52,4,98,280,High,3425,13.130981540870179,0,0,0,0,1,0,1,1
49,Male,159,76,1,74,980,Low,1755,30.062101973814325,0,1,0,0,0,0,1,1
39,Female,152,112,3,35,827,Medium,2675,48.476454293628805,0,1,0,0,1,0,1,0
21,Male,170,87,1,82,118,Medium,3320,30.103806228373706,0,1,0,0,0,0,0,1
38,Other,159,62,3,64,952,Low,3448,24.524346347059055,1,0,1,0,1,0,1,0
40,Male,174,104,5,82,395,High,3470,34.35064077156824,0,1,0,0,0,0,1,1
31,Female,187,111,5,39,459,High,2860,31.742400411793298,0,1,0,0,0,0,1,1
38,Other,164,59,0,55,735,Medium,2028,21.936347412254616,0,0,0,1,0,0,1,0
40,Male,191,100,2,94,758,Medium,1690,27.411529289219047,0,1,1,1,0,0,0,0
45,Female,179,92,0,81,303,Low,3102,28.71321119815237,0,1,0,1,0,0,1,0
22,Other,174,102,0,119,696,Medium,3567,33.69005152596116,0,1,0,0,0,0,0,0
48,Female,175,88,1,74,570,Medium,1623,28.73469387755102,0,1,0,1,0,0,1,1
35,Female,185,55,3,96,415,Medium,2451,16.070124178232284,0,0,1,0,1,0,1,0
47,Other,174,97,4,73,458,Medium,2713,32.038578411943455,0,0,0,0,1,0,1,1
52,Male,180,118,3,18,616,Low,2531,36.41975308641975,0,1,0,0,1,0,1,0
23,Female,190,116,2,82,315,Medium,3279,32.13296398891967,0,1,0,0,0,0,0,0
24,Male,160,87,2,58,737,Medium,3284,33.98437499999999,0,1,0,0,0,0,0,0
51,Female,153,101,2,114,661,Medium,3127,43.145798624460674,0,1,0,0,0,0,0,0
42,Other,191,92,1,37,275,High,3780,25.218606946081522,0,1,0,1,0,0,1,1
21,Other,161,117,5,59,351,Medium,2086,45.137147486593875,0,1,0,0,0,0,0,1
39,Male,157,64,2,13,697,Low,1560,25.96454217209623,0,1,1,1,0,0,0,0
20,Female,171,63,4,47,629,Low,2016,21.545090797168363,0,0,0,0,1,1,0,1
55,Female,159,55,4,55,538,High,3516,21.75546853368142,0,0,0,0,1,0,1,1
52,Female,187,117,4,40,469,High,1900,33.4582058394578,0,0,0,0,1,0,1,1
59,Female,176,67,0,16,359,High,1937,21.62964876033058,0,0,0,1,0,0,1,0
23,Other,160,57,1,96,470,Low,2490,22.265624999999996,0,0,0,1,0,0,0,1
37,Female,170,107,3,54,466,Medium,2140,37.024221453287204,0,1,0,0,1,0,1,0
45,Other,189,55,0,116,528,High,3560,15.397105344195293,0,0,0,0,0,0,1,0
41,Female,188,62,5,25,420,Medium,2877,17.54187415119964,0,0,0,0,0,0,1,1
56,Male,150,108,0,52,432,Medium,3091,48.0,0,0,0,0,0,0,1,0
44,Other,167,87,3,20,315,High,2905,31.1950948402596,0,1,0,0,1,0,1,0
30,Male,171,75,4,113,968,Medium,2912,25.64891761567662,0,0,0,0,1,0,1,1
57,Female,171,75,3,102,922,Low,3367,25.64891761567662,0,0,0,0,1,0,1,0
51,Female,195,106,1,14,528,Low,1804,27.87639710716634,0,1,0,1,0,0,1,1
45,Male,168,83,5,52,239,High,2363,29.40759637188209,0,1,0,1,0,0,1,1
58,Other,156,59,3,47,195,High,1756,24.243918474687703,0,0,0,0,1,0,1,0
59,Male,195,79,0,77,543,Medium,1711,20.77580539119001,0,0,0,1,0,0,1,0
36,Male,167,95,4,68,367,Low,2570,34.06360930832945,0,0,0,0,1,0,1,1
40,Other,181,83,2,72,520,Medium,2270,25.33500198406642,0,1,1,1,0,0,0,0
34,Female,156,57,3,36,464,Low,1763,23.422090729783037,1,0,1,0,1,1,1,0
52,Female,198,111,0,82,508,Medium,3708,28.313437404346494,0,1,0,1,0,0,1,0
31,Male,168,52,2,91,751,Low,2535,18.42403628117914,0,0,1,0,0,0,0,0
24,Female,187,89,5,82,182,Low,2419,25.45111384369012,0,1,0,1,0,0,0,1
40,Other,192,60,3,28,469,High,3402,16.276041666666668,0,0,1,0,1,0,1,0
59,Male,180,52,2,26,687,Medium,1708,16.049382716049383,0,0,0,0,0,0,0,0
44,Female,185,90,4,12,582,High,3398,26.296566837107374,0,0,0,0,1,0,1,1
57,Other,157,118,2,50,926,High,2766,47.87212462980242,0,0,0,0,0,0,0,0
43,Other,161,113,0,108,855,High,1541,43.59399714517186,0,1,0,0,0,0,1,0
20,Female,174,56,3,101,756,High,1631,18.49649887699828,0,0,1,0,1,0,0,0
50,Male,176,69,5,13,155,High,2113,22.275309917355372,0,0,0,1,0,0,1,1
40,Male,155,97,5,51,560,Low,3327,40.37460978147762,0,1,0,0,0,0,1,1
57,Other,156,79,2,53,375,High,1533,32.462195923734384,0,0,0,0,0,0,0,0
52,Female,170,85,4,70,451,Low,1520,29.411764705882355,0,0,0,0,1,0,1,1
25,Male,171,57,4,111,472,Medium,2276,19.493177387914233,0,0,0,0,1,1,1,1
29,Other,177,84,0,73,565,High,3045,26.812218711098343,0,1,0,1,0,0,1,0
41,Female,194,101,2,46,159,High,3149,26.83600807737273,0,1,1,1,0,0,0,0
21,Female,169,62,5,35,942,Medium,2222,21.707923392038097,0,0,0,1,0,1,0,1
45,Male,172,65,4,20,123,Low,2685,21.971335857220122,0,0,0,0,1,0,1,1
40,Other,199,91,1,22,291,Low,3526,22.979217696522813,0,0,0,1,0,0,1,1
57,Female,155,60,1,105,136,Low,2038,24.97398543184183,0,0,0,1,0,0,1,1
22,Male,159,63,2,111,301,Low,1555,24.919900320398717,0,0,1,1,0,0,0,0
31,Other,195,53,2,52,213,Medium,3238,13.93819855358317,0,0,1,0,0,0,0,0
29,Other,167,65,1,88,248,High,3935,23.306680053067517,0,0,0,1,0,0,1,1
38,Female,191,79,0,41,947,High,2140,21.655108138483047,0,0,0,1,0,0,1,0
46,Male,151,81,1,89,615,High,3023,35.5247576860664,0,1,0,0,0,0,1,1
56,Other,190,89,4,41,225,Low,2568,24.653739612188367,0,0,0,0,1,0,1,1
26,Female,189,103,4,111,673,High,2977,28.834579099129364,0,0,0,0,1,0,1,1
57,Other,177,69,4,24,838,Medium,2246,22.024322512687924,0,0,0,0,1,0,1,1
44,Male,175,115,5,66,958,High,3493,37.55102040816327,0,1,0,0,0,0,1,1
36,Female,165,53,0,25,857,High,1959,19.467401285583104,0,0,0,1,0,0,1,0
33,Male,181,89,3,78,608,Low,1536,27.16644791062544,0,1,1,0,1,0,1,0
27,Other,197,73,3,88,475,Medium,2462,18.81006982916334,1,0,1,0,1,1,1,0
57,Male,197,63,0,76,562,High,2508,16.2333479347574,0,0,0,0,0,0,1,0
23,Other,166,89,3,16,734,High,3055,32.29786616344898,0,1,0,0,1,0,0,0
53,Other,170,64,2,46,506,Medium,1728,22.145328719723185,0,0,0,1,0,0,0,0
44,Other,168,115,0,49,369,Low,3709,40.74546485260772,0,1,0,0,0,0,1,0
59,Male,174,76,4,53,845,Medium,3748,25.102391333069097,0,0,0,0,1,0,1,1
21,Male,151,98,4,79,732,Low,3417,42.98057102758651,0,0,0,0,1,0,0,1
57,Other,161,90,4,106,566,High,3710,34.72088268199529,0,0,0,0,1,0,1,1
20,Female,165,54,4,32,901,High,3793,19.834710743801654,0,0,0,0,1,1,0,1
29,Other,150,85,1,27,232,Low,3091,37.77777777777778,0,1,0,0,0,0,1,1
34,Male,152,93,4,71,757,High,2247,40.25277008310249,0,0,0,0,1,0,1,1
25,Male,152,112,0,11,876,Medium,3320,48.476454293628805,0,1,0,0,0,0,1,0
41,Female,161,56,3,98,993,Medium,2691,21.60410477990818,0,0,1,0,1,0,1,0
39,Male,162,56,3,97,751,High,3533,21.338210638622158,1,0,1,0,1,0,1,0
32,Female,185,56,4,54,827,Low,1659,16.362308254200144,0,0,0,0,1,0,1,1
36,Female,179,119,3,56,604,Low,2195,37.13991448456665,0,1,0,0,1,0,1,0
29,Female,161,86,4,98,884,Low,2918,33.17773234057328,0,0,0,0,1,0,1,1
53,Other,194,115,2,85,530,Low,2323,30.55585078116697,0,1,0,0,0,0,0,0
51,Female,184,106,3,75,507,Medium,1927,31.30907372400756,0,1,0,0,1,0,1,0
25,Female,167,78,0,112,542,Low,2288,27.968016063681024,0,1,0,1,0,0,1,0
25,Other,187,115,4,97,693,Low,2501,32.88627069690297,0,0,0,0,1,0,1,1
54,Other,175,85,0,57,406,Low,1773,27.755102040816325,0,1,0,1,0,0,1,0
42,Male,151,112,5,39,929,Medium,3258,49.120652602956014,0,1,0,0,0,0,1,1
57,Male,194,91,3,68,643,High,1957,24.178977574662557,0,0,0,0,1,0,1,0
24,Female,178,77,4,18,498,Low,3528,24.302487059714682,0,0,0,0,1,1,0,1
26,Male,180,68,2,49,937,Medium,1659,20.98765432098765,1,0,1,1,0,1,0,0
18,Male,155,77,4,59,306,Medium,1743,32.04994797086368,0,0,0,0,1,0,0,1
40,Male,176,95,1,76,186,Medium,3372,30.668904958677686,0,1,0,0,0,0,1,1
44,Male,194,82,3,66,371,Medium,3041,21.787650122223404,0,0,1,0,1,0,1,0
19,Female,154,101,2,107,905,Medium,2535,42.58728284702311,0,1,0,0,0,0,0,0
55,Other,190,100,3,72,564,Low,3633,27.70083102493075,0,1,0,0,1,0,1,0
55,Other,183,72,1,26,577,Low,2784,21.49959688255845,0,0,0,1,0,0,1,1
37,Female,171,97,4,12,304,Medium,2066,33.1726001162751,0,0,0,0,1,0,1,1
49,Female,181,57,1,108,398,Medium,3925,17.398736302310674,0,0,0,0,0,0,1,1
37,Female,154,96,5,57,920,High,2810,40.47900151796256,0,1,0,0,0,0,1,1
58,Male,182,76,1,71,825,High,2918,22.944088878154812,0,0,0,1,0,0,1,1
54,Female,161,86,0,11,805,Low,2613,33.17773234057328,0,1,0,0,0,0,1,0
34,Other,174,68,3,94,819,Low,2780,22.460034350640772,1,0,1,0,1,1,1,0
23,Other,187,93,4,85,490,High,2377,26.59498412879979,0,0,0,0,1,0,0,1
52,Other,193,90,0,43,822,Low,3499,24.161722462347985,0,0,0,1,0,0,1,0
41,Female,196,94,0,117,701,High,2740,24.46897126197418,0,0,0,1,0,0,1,0
41,Other,180,104,0,91,514,High,1960,32.098765432098766,0,1,0,0,0,0,1,0
51,Female,185,68,5,74,713,Medium,1787,19.86851716581446,0,0,0,1,0,0,1,1
34,Other,191,61,4,73,592,Medium,3914,16.721032866423617,0,0,0,0,1,0,1,1
23,Male,155,95,0,28,450,High,1714,39.54214360041623,0,1,0,0,0,0,0,0
55,Female,163,103,2,74,815,Low,1919,38.76698407919004,0,1,0,0,0,0,0,0
43,Female,198,97,5,14,388,High,2635,24.742373227221712,0,0,0,1,0,0,1,1
25,Male,158,97,3,104,217,Medium,2629,38.85595257170325,0,1,0,0,1,0,1,0
25,Female,191,114,0,18,204,High,2666,31.24914338970971,0,1,0,0,0,0,1,0
49,Other,199,52,0,23,734,High,2511,13.130981540870179,0,0,0,0,0,0,1,0
43,Other,193,84,5,92,901,Low,3527,22.550940964858118,0,0,0,1,0,0,1,1
54,Male,178,79,5,12,346,Medium,3759,24.933720489837143,0,0,0,1,0,0,1,1
58,Female,185,78,0,91,459,Medium,2829,22.79035792549306,0,0,0,1,0,0,1,0
57,Female,164,104,4,41,444,High,2151,38.667459845330164,0,0,0,0,1,0,1,1
38,Female,167,86,4,84,793,Low,2154,30.83653053175087,0,0,0,0,1,0,1,1
21,Male,176,111,5,56,507,High,2744,35.834194214876035,0,1,0,0,0,0,0,1
23,Male,187,87,5,17,310,Low,2837,24.879178701135288,0,0,0,1,0,1,0,1
51,Other,160,91,5,81,590,Low,3323,35.54687499999999,0,1,0,0,0,0,1,1
24,Male,170,99,3,73,639,High,1740,34.256055363321806,0,1,0,0,1,0,0,0
19,Other,174,84,3,57,559,Low,3302,27.74474831549742,0,1,1,0,1,0,0,0
56,Female,191,64,4,118,220,Medium,2096,17.54337874510019,0,0,0,0,1,0,1,1
28,Female,181,64,0,69,387,High,3095,19.53542321662953,0,0,0,1,0,1,1,0
33,Male,170,59,4,32,535,Medium,3318,20.41522491349481,0,0,0,0,1,1,1,1
55,Other,178,75,3,82,353,Medium,1959,23.671253629592222,0,0,0,0,1,0,1,0
59,Female,194,101,2,113,492,High,3162,26.83600807737273,0,0,0,1,0,0,0,0
41,Male,171,99,1,106,783,Medium,3463,33.856571252693136,0,1,0,0,0,0,1,1
32,Female,160,91,4,43,792,Low,2342,35.54687499999999,0,0,0,0,1,0,1,1
53,Female,172,55,5,16,885,High,3002,18.591130340724717,0,0,0,1,0,0,1,1
37,Female,156,110,3,119,731,Medium,3385,45.20052596975673,0,1,0,0,1,0,1,0
40,Male,153,91,0,50,540,High,3339,38.87393737451408,0,1,0,0,0,0,1,0
40,Other,155,98,4,12,851,High,3906,40.79084287200832,0,0,0,0,1,0,1,1
30,Male,155,93,4,48,490,Medium,3520,38.70967741935483,0,0,0,0,1,0,1,1
18,Other,183,95,0,58,598,High,3279,28.367523664486843,0,1,0,1,0,0,0,0
38,Male,166,85,2,44,311,Medium,3337,30.84627667295689,0,1,0,0,0,0,0,0
51,Male,160,115,0,107,314,Low,3252,44.92187499999999,0,1,0,0,0,0,1,0
27,Male,177,68,4,20,530,High,3479,21.705129432793896,0,0,0,0,1,1,1,1
51,Male,167,74,0,12,737,Medium,1562,26.533758829646096,0,1,0,1,0,0,1,0
40,Other,162,80,3,68,230,High,1734,30.48315805517451,0,1,0,0,1,0,1,0
22,Other,157,67,2,89,677,Medium,3045,27.18163008641324,0,1,1,1,0,0,0,0
43,Other,160,54,5,81,357,Medium,3390,21.093749999999996,0,0,0,1,0,0,1,1
56,Other,185,97,0,86,432,Medium,1985,28.341855368882392,0,0,0,1,0,0,1,0
55,Male,192,115,2,75,693,Medium,3718,31.19574652777778,0,1,0,0,0,0,0,0
34,Other,173,119,2,46,602,High,2148,39.76076714891911,0,1,0,0,0,0,0,0
40,Male,181,91,5,85,166,High,2861,27.776929886145112,0,1,0,1,0,0,1,1
37,Male,190,107,5,33,537,High,1502,29.639889196675902,0,1,0,1,0,0,1,1
41,Male,182,82,3,13,400,High,1758,24.755464315903875,0,0,1,0,1,0,1,0
19,Female,192,68,3,78,967,Medium,3415,18.446180555555557,0,0,1,0,1,0,0,0
47,Female,156,113,4,109,433,High,1992,46.43326758711374,0,0,0,0,1,0,1,1
27,Male,157,70,2,70,472,Medium,3401,28.398718000730252,0,1,1,1,0,0,0,0
38,Male,179,81,1,47,525,Medium,1906,25.280109859242845,0,1,0,1,0,0,1,1
32,Male,178,53,4,86,221,High,3390,16.72768589824517,0,0,0,0,1,0,1,1
53,Other,166,104,1,88,547,Medium,3779,37.741326752794315,0,1,0,0,0,0,1,1
36,Female,170,84,4,73,826,High,3656,29.065743944636683,0,0,0,0,1,0,1,1
40,Male,152,99,5,39,790,Medium,3606,42.84972299168975,0,1,0,0,0,0,1,1
56,Other,164,50,5,104,884,Medium,2193,18.590124925639504,0,0,0,1,0,0,1,1
28,Male,176,71,2,85,205,High,3233,22.920971074380166,1,0,1,1,0,1,0,0
41,Other,153,72,4,75,355,High,1937,30.757400999615534,0,0,0,0,1,0,1,1
23,Female,191,53,4,34,809,Medium,2125,14.528110523286095,0,0,0,0,1,0,0,1
46,Female,155,63,1,119,890,Low,1773,26.22268470343392,0,1,0,1,0,0,1,1
27,Other,196,70,2,85,352,Low,3215,18.221574344023324,0,0,1,0,0,0,0,0
58,Other,182,56,1,87,313,Medium,2097,16.9061707523246,0,0,0,0,0,0,1,1
38,Male,159,108,5,78,555,Medium,3259,42.719829120683514,0,1,0,0,0,0,1,1
45,Other,177,102,2,64,313,High,1846,32.557694149190844,0,1,0,0,0,0,0,0
23,Female,157,93,4,52,404,High,1898,37.72972534382733,0,0,0,0,1,0,0,1
34,Other,165,74,5,77,387,Medium,2237,27.180899908172638,0,1,0,1,0,0,1,1
32,Female,173,52,4,78,574,Low,1790,17.374452871796585,0,0,0,0,1,0,1,1
58,Female,173,97,1,113,762,Medium,2973,32.4100370877744,0,0,0,0,0,0,1,1
29,Other,160,52,5,97,659,Low,3106,20.312499999999996,0,0,0,1,0,1,1,1
43,Female,196,116,2,111,400,Medium,3716,30.195751770095796,0,1,0,0,0,0,0,0
44,Male,155,64,0,19,361,Low,2087,26.638917793964616,0,1,0,1,0,0,1,0
26,Female,167,94,3,102,255,Low,2022,33.70504499982072,0,1,0,0,1,0,1,0
56,Male,184,119,1,16,842,Medium,3130,35.14886578449905,0,0,0,0,0,0,1,1
38,Female,152,109,2,65,999,High,3890,47.17797783933518,0,1,0,0,0,0,0,0
46,Male,170,102,0,118,606,Medium,1750,35.294117647058826,0,1,0,0,0,0,1,0
28,Male,154,97,3,53,758,Low,3099,40.90065778377467,0,1,0,0,1,0,1,0
23,Other,152,52,3,40,972,High,3705,22.506925207756233,1,0,1,0,1,1,0,0
18,Female,194,50,2,15,380,Low,1633,13.285152513550857,0,0,1,0,0,0,0,0
32,Female,181,74,5,18,139,Low,3188,22.587833094227893,0,0,0,1,0,1,1,1
19,Other,159,64,1,29,313,Low,2234,25.315454293738377,0,1,0,1,0,0,0,1
43,Male,151,76,5,92,303,Low,2143,33.33187140914872,0,1,0,0,0,0,1,1
20,Other,174,116,0,40,695,High,2652,38.314176245210724,0,1,0,0,0,0,0,0
22,Female,167,58,1,109,622,Medium,2921,20.796729893506402,0,0,0,1,0,0,0,1
21,Female,183,106,3,23,551,High,1878,31.652184299322162,0,1,0,0,1,0,0,0
28,Other,189,72,3,54,587,High,3410,20.15621063240111,1,0,1,0,1,1,1,0
